Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
CLCN2	53.76766758226329	2.9905663411041944e-5	0.0014426443658851552	0.014367048527511294	0.7244223122476929	FALSE
INTS6L	438.53014269578404	2.9895579326600517e-5	0.0014423583440235648	0.2271253394013016	0.9431011686382762	FALSE
PGGT1B	301.0494020000267	2.9868603332053665e-5	0.0014424577205603907	0.07581876544729514	0.8980286959218061	FALSE
ARHGEF11	2053.509052041967	2.9796086314018792e-5	0.0014425020657116803	0.6127705420446043	0.9808163488304377	FALSE
ACTR3B	74.90858579090764	2.9792302650651128e-5	0.0014424924822103444	0.06537644835047515	0.8974333869626038	FALSE
TOLLIP	1541.1050604143743	2.9769516521655304e-5	0.0014422304979844962	0.2722807287664703	0.9452538660029947	FALSE
MSANTD4	95.19301564903806	2.9766742767603235e-5	0.0014425053403459179	0.07481897466853737	0.8974333869626038	FALSE
MRPS26	218.9271134077956	2.9735901014402115e-5	0.0014423886664259532	0.10057631142281621	0.9199837696888991	FALSE
CENPO	108.85690954826882	2.9733882185827625e-5	0.0014425998145258	0.09977531589566573	0.9199837696888991	FALSE
SLC25A36	185.7259987209527	2.972593778952333e-5	0.0014425360857409334	0.083578173864739	0.9072007633329057	FALSE
VPS54	196.4937602183631	2.970583713066793e-5	0.0014422570310120176	0.15630346302788783	0.9369321113908191	FALSE
PPAN	431.27713915721813	2.9648165135149947e-5	0.0014423335229879874	0.4007758522986693	0.9640001410342711	FALSE
VTA1	316.3028374897631	2.96412833900302e-5	0.0014422635386665916	0.4121028620170174	0.9640001410342711	FALSE
ZFTA	87.85556183977914	2.9638569593327785e-5	0.0014425459740964731	0.046487150270756686	0.8715444851081237	FALSE
LRRFIP1	5311.886986491864	2.957685584796631e-5	0.0014422941805105514	0.8131099118835169	0.9912573030946887	FALSE
ATF1	146.09679795817954	2.9559417556310433e-5	0.0014423818783953681	0.23683901066316856	0.9431011686382762	FALSE
IL17RB	24.969392674596488	2.9551988379550207e-5	0.001442731647651352	0.020736762130610455	0.7892930085963604	FALSE
RPL7AP11	28.80393938915576	2.951432666010133e-5	0.001442740591600589	0.023689467708069758	0.8222883786755313	FALSE
SPON2	1206.9287472067679	2.9491403535896338e-5	0.0014427765760389492	0.6640366732836885	0.9827494532330928	FALSE
SVIL	2141.0226730359914	2.9452482628868316e-5	0.0014425837163730471	0.7412441298025365	0.9865405155774637	FALSE
AKAP13	5452.475579687606	2.9436112888947848e-5	0.0014421839936787574	0.1779205235981917	0.9411140608393057	FALSE
QDPR	103.98385592085236	2.943425062779444e-5	0.0014426501860519264	0.050069187961263	0.8745354340843929	FALSE
TTC14	690.2656615640473	2.9412990316351173e-5	0.001442446113933942	0.12991949075106352	0.9333972064576997	FALSE
SAC3D1	103.13930637579487	2.9403756234590868e-5	0.0014425843376676918	0.33350559744258546	0.9549875908841201	FALSE
MRPS31P5	77.53648208690848	2.9399595774740916e-5	0.0014425799534247162	0.1973179843152533	0.9431011686382762	FALSE
RPS8P1	18.977246007809143	2.9397449218404753e-5	0.0014427671684406835	0.07066627363853377	0.8974333869626038	FALSE
MACF1	3447.457715557585	2.939432095955666e-5	0.001442462449374915	0.07689878270590349	0.8980286959218061	FALSE
N4BP2L2	1991.613511525746	2.938113838280884e-5	0.0014421979019088615	0.30167783624880784	0.950369977061049	FALSE
MTMR11	305.38593997544706	2.9319642275153152e-5	0.0014426487329645453	0.6647412356698696	0.9827494532330928	FALSE
PAXBP1	281.6254028039512	2.9301979262369737e-5	0.0014424782976557898	0.04206068105822504	0.8588506667470519	FALSE
MOGS	1743.7819554528517	2.9300399720970845e-5	0.0014416982210571094	0.4128755883964028	0.9640001410342711	FALSE
COG1	595.1781419158707	2.9299688637942014e-5	0.00144194206231719	0.32186882222347524	0.950759754681625	FALSE
CROCCP3	147.35214064796398	2.9277593752073154e-5	0.0014425627119383133	0.03980190949793809	0.8545016292918084	FALSE
FAM200A	50.62926680711933	2.9250826219790497e-5	0.0014426037120961065	0.3310320811852506	0.9523235552440367	FALSE
PDP1	229.64358767215722	2.924698784122751e-5	0.001442534828907684	0.046944570472350296	0.871943220922924	FALSE
HKDC1	54.44497177476408	2.923644107050386e-5	0.0014427614152851633	0.3431358978840916	0.9593237343439942	FALSE
MTERF2	138.90973958992464	2.916138222519326e-5	0.001442579892665103	0.7075565825987795	0.9837944264900839	FALSE
ZNF101	609.6616689806876	2.9158722612134986e-5	0.0014419958264990228	0.1221514009408882	0.9291032869234085	FALSE
RIOK1	159.69503640055456	2.9152413629239988e-5	0.0014423287171627522	0.5642912214085838	0.9805314950908789	FALSE
BLOC1S1	846.0592565135162	2.9150649407377043e-5	0.0014424726114768902	0.2972673341068749	0.9477959817662585	FALSE
TMED10	1333.660086897195	2.9139859667813054e-5	0.001441816469944241	0.9524757844807613	0.9992116652676296	FALSE
TAPT1	241.38613176752133	2.9118271732750943e-5	0.001442288228121846	0.24735863690934848	0.9431011686382762	FALSE
FBXL16	253.83491963272644	2.911336217528163e-5	0.001442689992217558	0.36502430632909666	0.961364189236488	FALSE
FAM76A	139.38615380954457	2.9091957439308245e-5	0.001442186521461566	0.5820375984565157	0.9805818745108457	FALSE
ANKRD42-DT	50.1159802743507	2.9083978654630492e-5	0.001442646360626569	0.014657077565645393	0.7257040843478085	FALSE
ZNF397	580.1493017532316	2.9080936267783666e-5	0.00144186396997883	0.2979988028883714	0.9480129076737847	FALSE
SEPHS2	846.0308853688548	2.905155909947702e-5	0.001441927863628803	0.377226612121148	0.9632327328376483	FALSE
OGG1	594.3356471309596	2.9049994122210935e-5	0.0014419824309269305	0.37246744254368525	0.962886075568387	FALSE
CAPN7	219.8061794290693	2.9033799274175648e-5	0.0014424421512700036	0.1293803749324394	0.9333972064576997	FALSE
HCG18	397.7350745284599	2.9016538184406584e-5	0.0014423259478206366	0.18517527398150238	0.9431011686382762	FALSE
KIFAP3	141.37564006835575	2.8999685285949875e-5	0.0014424219791792645	0.13971674417199506	0.9369321113908191	FALSE
SGSM3	1690.8253686386422	2.8986256662011502e-5	0.0014419699769087438	0.89461642873112	0.9962420887147879	FALSE
ANKRD52	1168.7345797522048	2.8980070194729336e-5	0.0014418925724858857	0.3402280611246191	0.9573326096362192	FALSE
FRS3	102.75040550469876	2.8963004263965324e-5	0.0014425662129875316	0.03937535977634569	0.8545016292918084	FALSE
SNX8	282.60346146179035	2.895698691999105e-5	0.0014422732513935024	0.904960043899237	0.9962420887147879	FALSE
FRMD4B	166.3486523735296	2.8955393178728717e-5	0.0014426252013825702	0.022263125584212146	0.8086427523331131	FALSE
ASH1L	1042.2721902581268	2.895047122215088e-5	0.0014424665202620248	0.2592118670816993	0.9451824962710511	FALSE
TBP	229.1014131374715	2.8897748234817968e-5	0.0014415699431921897	0.3726465200504588	0.962886075568387	FALSE
FLNB	718.5446255651036	2.889315766300213e-5	0.0014424604903291772	0.06198067095858028	0.8881465556182445	FALSE
BTN3A1	5158.599735102355	2.8875388712763343e-5	0.001442569348246388	0.038794829058019176	0.8545016292918084	FALSE
CEP135	140.41468777735872	2.8874918476056002e-5	0.001442538211768654	0.06986972600919264	0.8974333869626038	FALSE
TRMT11	50.90623051095379	2.8871391291786108e-5	0.001442636796848134	0.015759714895521294	0.7359318340075076	FALSE
TMEM71	2034.3750655889382	2.884790593565624e-5	0.0014425466792585984	0.36086870337032084	0.961364189236488	FALSE
ZBTB14	226.65703447919716	2.881936438398524e-5	0.001442271561918822	0.20064730576744497	0.9431011686382762	FALSE
METTL9	1660.4328956973745	2.8814650627656994e-5	0.0014423811131638552	0.7102245880106532	0.983971250542873	FALSE
A1BG	59.977796376921596	2.8801173218643572e-5	0.0014427040162925699	0.9259288937039764	0.9967223813874471	FALSE
DBI	722.4303210869051	2.879117019207431e-5	0.0014422930185276355	0.10830647981192619	0.9199837696888991	FALSE
SRSF3	1716.2290879436307	2.8788840722090753e-5	0.0014414639163518117	0.5502821651775421	0.9792404389886902	FALSE
UFM1	382.1845728964108	2.8782808187081362e-5	0.0014421939014260645	0.23187670038753258	0.9431011686382762	FALSE
QRSL1	184.22171662017047	2.8780896277827074e-5	0.0014424797015066464	0.5056790289989418	0.9727318329561867	FALSE
SMYD2	269.8669782943907	2.8776441124981392e-5	0.0014422579035448765	0.12985341562416478	0.9333972064576997	FALSE
GCHFR	102.16551240476036	2.8767072343118242e-5	0.0014426480236638453	0.48410955216417645	0.970730901156679	FALSE
CHCHD3	197.69768812547315	2.8746633678801857e-5	0.0014422418693162031	0.4238573186626024	0.9640001410342711	FALSE
